Trtmt,Camt,Namt,Pamt,Sample,Timepoint,Replicate,soilweight,Bottleheadspace_mL,ppm_CO2,Time_min,umol_CO2_L_air,umol_CO2_ml_air,umol_CO2,mg_CO2,mg_CO2_C,mg_CO2_C_gsoil,ug_CO2_C_gsoil,ugCO2C_gsoil_min,T24hr_CO2_sum,T24hr_ppm_min,T48hr_CO2_sum,T48hr_ppm_min,total_ppm_min,extP,ubialP,extC,extN,ubialC,ubialN,ubial C_N
high_C_high_N_low_P,high_C,high_N,low_P,45,T2,2,25.15,233.5620915,33685.24,636,1374.907755,1.374907755,321.1263309,14.13276982,3.856727234,0.153348995,153.3489954,0.241114773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,72,T2,3,24.76,233.8169935,33971.096,724,1386.575347,1.386575347,318.5518202,14.01946561,3.825807361,0.123413141,123.4131407,0.170460139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,99,T2,4,25.13,233.5751634,36208.8759,698,1477.913302,1.477913302,339.535802,14.94297065,4.077824982,0.131542741,131.5427414,0.18845665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,126,T2,5,25.3,233.4640523,36479.368,676,1488.953796,1.488953796,342.0722451,15.05459951,4.108287663,0.132525408,132.5254085,0.196043504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,18,T3,1,24.81,233.7843137,2225.441,338,90.83432653,0.090834327,20.86827818,0.918412923,0.250628021,0.008084775,8.084774868,0.023919452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,45,T3,2,25.15,233.5620915,27766.264,339,1133.316898,1.133316898,260.3682241,11.45880554,3.127022372,0.100871689,100.8716894,0.297556606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,72,T3,3,24.76,233.8169935,27394.88,341,1118.158367,1.118158367,256.8857033,11.3055398,3.085197297,0.099522493,99.52249345,0.291854819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,99,T3,4,25.13,233.5751634,33138.3039,344,1352.583833,1.352583833,310.7426097,13.67578225,3.732018743,0.120387701,120.3877014,0.349964248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,126,T3,5,25.3,233.4640523,26009.0192,343,1061.59262,1.06159262,243.8902886,10.7336116,2.929122366,0.094487818,94.48781827,0.275474689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,18,T4,1,24.81,233.7843137,23847.407,421,973.363551,0.973363551,223.6205422,9.841540063,2.685682712,0.086634926,86.63492619,0.205783673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,45,T4,2,25.15,233.5620915,21504.604,416,877.7389388,0.877738939,201.6517438,8.874693244,2.421837443,0.078123788,78.12378848,0.187797568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,72,T4,3,24.76,233.8169935,20072.24,415,819.275102,0.819275102,188.2202619,8.283573728,2.260525346,0.072920172,72.92017245,0.175711259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,99,T4,4,25.13,233.5751634,26555.4177,414,1083.8946,1.0838946,249.0139454,10.95910374,2.990657484,0.096472822,96.47282207,0.23302614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,126,T4,5,25.3,233.4640523,23557.6784,412,961.5378939,0.961537894,220.9037157,9.72197253,2.653053626,0.085582375,85.58237503,0.207724211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,18,T5,1,24.81,233.7843137,30258.1228,673,1235.02542,1.23502542,283.7347401,12.48716591,3.407654228,0.10992433,109.9243299,0.163334814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,45,T5,2,25.15,233.5620915,33974.164,672,1386.700571,1.386700571,318.5805893,14.02073173,3.826152877,0.123424286,123.4242864,0.183667093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,72,T5,3,24.76,233.8169935,33297.572,671,1359.084571,1.359084571,312.2360894,13.7415103,3.749955434,0.120966304,120.9663043,0.180277652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,99,T5,4,25.13,233.5751634,31998.0201,669,1306.041637,1.306041637,300.0500056,13.20520075,3.603600568,0.11624518,116.2451796,0.173759611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,126,T5,5,25.3,233.4640523,34369.48,671,1402.835918,1.402835918,322.2875239,14.18387393,3.870673162,0.124860425,124.8604246,0.18608111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,18,T6,1,24.81,233.7843137,16309.0478,332,665.6754204,0.66567542,152.9322711,6.73054925,1.836716576,0.059248922,59.2489218,0.178460608,38240.699,28.34744181,70414.5776,49.37908668,39.15505463,18.098,1.406,607.1475,140.6615,189.3778,39.12055,4.840879
high_C_high_N_low_P,high_C,high_N,low_P,45,T6,2,25.15,233.5620915,17498.608,324,714.228898,0.714228898,164.086947,7.221466538,1.970684234,0.063570459,63.57045915,0.196205121,66119.0767,48.5099609,72977.376,51.68369405,50.12484782,16.937,2.172,706.8598,143.1411,93.25718,10.31807,9.038239
high_C_high_N_low_P,high_C,high_N,low_P,72,T6,3,24.76,233.8169935,15570.884,314,635.5462857,0.635546286,146.0104037,6.425917866,1.753584948,0.056567256,56.56725639,0.180150498,65499.8778,46.81906919,68940.696,49.24335429,48.0316448,18.673,2.779,682.5079,162.316,105.5378,NA,NA
high_C_high_N_low_P,high_C,high_N,low_P,99,T6,4,25.13,233.5751634,12621.3258,306,515.1561551,0.515156155,118.3519751,5.208670423,1.421407221,0.045851846,45.85184583,0.149842633,73486.394,52.45281513,71174.7636,51.24173045,51.84987728,20.356,NA,632.4113,158.1359,168.2056,10.10258,16.64976
